id_tramite,id_procedimiento,procedimiento_antiguo,id_etapa,etapa,id_etapa_padre,etapa_padre,nombre_del_tramite,matriz_especifica_opcional,observaciones
48,16,JUICIO EJECUTIVO,12,FASE DECLARATIVA,4,EXHIBICIÓN DOCUMENTOS,Conciliación,M2,
49,16,JUICIO EJECUTIVO,12,FASE DECLARATIVA,4,EXHIBICIÓN DOCUMENTOS,Termino Probatorio Juicio Declarativo,M2,
50,16,JUICIO EJECUTIVO,12,FASE DECLARATIVA,4,EXHIBICIÓN DOCUMENTOS,Sentencia,M2,
51,25,INSOLVENCIA,13,ASIGNACIÓN,,,Asignación Abogado,M3,
52,25,INSOLVENCIA,13,ASIGNACIÓN,,,Bienvenida Realizada,M3,
53,25,INSOLVENCIA,13,ASIGNACIÓN,,,Evaluación de antecedentes,M3,
54,25,INSOLVENCIA,14,JUDICIAL,,,Presentación de insolvencia,M3,
55,25,INSOLVENCIA,14,JUDICIAL,,,Solicitud de nominación de liquidación,M3,
56,25,INSOLVENCIA,14,JUDICIAL,,,Resolución de liquidación,M3,
57,25,INSOLVENCIA,14,JUDICIAL,,,Audiencia A.190,M3,
58,25,INSOLVENCIA,14,JUDICIAL,,,Audiencia de incautación,M3,
59,25,INSOLVENCIA,14,JUDICIAL,,,Realización de oferta directa,M3,
60,25,INSOLVENCIA,14,JUDICIAL,,,Coordinación de retiro con martillero,M3,
61,25,INSOLVENCIA,14,JUDICIAL,,,Remate,M3,
62,25,INSOLVENCIA,14,JUDICIAL,,,Impugnación de créditos reconocidos,M3,
63,25,INSOLVENCIA,14,JUDICIAL,,,Publicación del reparto,M3,
64,25,INSOLVENCIA,14,JUDICIAL,,,Solicitud aprobación de cuenta final,M3,
65,25,INSOLVENCIA,14,JUDICIAL,,,Publicación de cuenta final,M3,
66,25,INSOLVENCIA,14,JUDICIAL,,,Solicitud de dictación de sentencia de término,M3,
67,25,INSOLVENCIA,14,JUDICIAL,,,Sentencia de término,M3,
68,25,INSOLVENCIA,14,JUDICIAL,,,Solicitud de ejecutoria,M3,
69,25,INSOLVENCIA,15,CIERRE,,,Solicitud de eliminación,M3,Trámite administrativo de cierre del expediente concursal.
70,19,REDACCIÓN,17,FINALIZADO,,,Proceso Terminado,,Cierre administrativo de la redacción.
71,16,JUICIO EJECUTIVO,18,PENDIENTE DE NOTIFICACIÓN,,,Pendiente de notificación,M1 Baja,
72,17,RECURSO DE PROTECCIÓN,20,ASIGNACIÓN,,,Asignación Abogado,M1 Baja,
73,17,RECURSO DE PROTECCIÓN,20,ASIGNACIÓN,,,Bienvenida Realizada,M1 Baja,
74,17,RECURSO DE PROTECCIÓN,20,ASIGNACIÓN,,,Solicitud de documentos,M1 Baja,
75,17,RECURSO DE PROTECCIÓN,21,PRESENTADO,,,Recurso presentado,M3,
76,17,RECURSO DE PROTECCIÓN,22,FINALIZADO,,,Recurso terminado,,Cierre administrativo del recurso.
77,16,JUICIO EJECUTIVO,5,INGRESO EXCEPCIONES DILATORIAS,2,DEMANDA NOTIFICADA,Termino Probatorio,M2,
78,16,JUICIO EJECUTIVO,10,EMBARGO BIENES MUEBLES,3,APREMIO,Sin Defensa de Excepciones,M3,Solo cuando exista embargos
79,16,JUICIO EJECUTIVO,5,INGRESO EXCEPCIONES DILATORIAS,2,DEMANDA NOTIFICADA,Sentencia,M2,
80,16,JUICIO EJECUTIVO,23,CAUSA ARCHIVADA,,,Pendiente de abandono 6 meses,M1 Baja,Causa archivada en espera de plazo de abandono: vigilancia.
81,16,JUICIO EJECUTIVO,23,CAUSA ARCHIVADA,,,Pendiente de abandono 3 años,M1 Baja,Causa archivada en espera de plazo de abandono: vigilancia.
82,16,JUICIO EJECUTIVO,23,CAUSA ARCHIVADA,,,Pendiente de prescripción,M1 Baja,Causa archivada en espera de plazo de prescripción: vigilancia.
